"Дата акції від дати завантаження до дати закінчення, план | Мережа | Продукція | Еталонний місяць","06.07-16.07.25 | Варус | торт Пінчер з вишнею (0,8кг) ОПТ | Травень","06.07-16.07.25 | Варус | торт Наполеон (1,0 кг) ОПТ  | Травень","06.07-16.07.25 | Варус | торт Червоний оксамит (0,5 кг)  | Травень",Мануилова А..3 | Мануилова А..3 | Мануилова А..3 | Мануилова А..3,"06.07-16.07.25 | Варус | торт Фісташка з лохиною (0,5 кг)  | Травень"
,,,,Нечепорук И..52,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..52,1 311
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..52,2 094
,93 185,65 126,7 246,Нечепорук И..52,3 405
"PL, грн план",137 366,123 334,5 677,Нечепорук И..52,-458
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..52,"-2,62%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..53,03.07-29.07.25
Мережа,Варус,Варус,Варус,Нечепорук И..53,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..53,"торт Наполеон з солоною карамеллю (0,450кг) газ уп"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..53,Березень
Акційний місяць,Липень,Липень,Липень,Нечепорук И..53,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..53,"1,05"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..53,17 839
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..53,172
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..53,"69,89%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..53,15%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..53,14%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..53,0%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..53,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..53,58%
"Витрати на активацію, грн",0,0,0,Нечепорук И..53,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..53,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..53,"1,44"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..53,2
,,,,Нечепорук И..53,
Резульати,,,,Нечепорук И..53,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..53,425
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..53,37 462
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..53,10 394
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..53,16 337
,,,,Нечепорук И..53,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..53,2 810
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..53,352
,93 185,65 126,7 246,Нечепорук И..53,3 161
"PL, грн план",137 366,123 334,5 677,Нечепорук И..53,2 781
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..53,"7,42%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..54,03.07-29.07.25
Мережа,Варус,Варус,Варус,Нечепорук И..54,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..54,"торт Пінчер з вишнею (0,350 кг) газ уп"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..54,Лютий
Акційний місяць,Липень,Липень,Липень,Нечепорук И..54,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..54,"1,05"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..54,11 798
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..54,117
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..54,"67,04%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..54,15%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..54,14%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..54,4%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..54,1%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..54,56%
"Витрати на активацію, грн",0,0,0,Нечепорук И..54,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..54,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..54,"1,25"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..54,2
,,,,Нечепорук И..54,
Резульати,,,,Нечепорук И..54,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..54,289
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..54,24 776
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..54,6 025
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..54,9 971
,,,,Нечепорук И..54,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..54,1 858
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..54,208
,93 185,65 126,7 246,Нечепорук И..54,2 066
"PL, грн план",137 366,123 334,5 677,Нечепорук И..54,1 879
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..54,"7,58%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..55,03.07-29.07.25
Мережа,Варус,Варус,Варус,Нечепорук И..55,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..55,"Тістечко Тарти мікс 1шт Флоу Пак (фундук, кизил, солона карамель) БОКС"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..55,Лютий
Акційний місяць,Липень,Липень,Липень,Нечепорук И..55,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..55,"1,05"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..55,31 067
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..55,2 760
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..55,"44,33%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..55,10%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..55,14%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..55,0%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..55,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..55,37%
"Витрати на активацію, грн",0,0,0,Нечепорук И..55,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..55,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..55,"0,25"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..55,2
,,,,Нечепорук И..55,
Резульати,,,,Нечепорук И..55,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..55,6 440
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..55,65 241
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..55,9 763
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..55,14 610
,,,,Нечепорук И..55,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..55,4 893
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..55,886
,93 185,65 126,7 246,Нечепорук И..55,5 779
"PL, грн план",137 366,123 334,5 677,Нечепорук И..55,-932
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..55,"-1,43%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..56,01.08-31.08.25
Мережа,Варус,Варус,Варус,Нечепорук И..56,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..56,"торт Тірамісу (0,380 кг) газ уп"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..56,Березень-Квітень
Акційний місяць,Липень,Липень,Липень,Нечепорук И..56,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..56,"1,05"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..56,64 806
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..56,598
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..56,"51,25%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..56,10%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..56,14%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..56,10%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..56,5%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..56,43%
"Витрати на активацію, грн",0,0,0,Нечепорук И..56,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..56,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..56,"1,88"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..56,"1,5"
,,,,Нечепорук И..56,
Резульати,,,,Нечепорук И..56,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..56,1 047
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..56,102 069
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..56,18 270
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..56,23 616
,,,,Нечепорук И..56,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..56,5 103
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..56,787
,93 185,65 126,7 246,Нечепорук И..56,5 890
"PL, грн план",137 366,123 334,5 677,Нечепорук И..56,-545
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..56,"-0,53%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..57,01.08-31.08.25
Мережа,Варус,Варус,Варус,Нечепорук И..57,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..57,"торт Наполеон (1,0 кг) ОПТ"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..57,Лютий
Акційний місяць,Липень,Липень,Липень,Нечепорук И..57,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..57,"1,05"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..57,33 092
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..57,218
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..57,"68,38%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..57,15%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..57,11%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..57,1%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..57,1%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..57,57%
"Витрати на активацію, грн",0,0,0,Нечепорук И..57,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..57,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..57,"2,9"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..57,"2,5"
,,,,Нечепорук И..57,
Резульати,,,,Нечепорук И..57,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..57,673
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..57,86 867
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..57,19 451
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..57,38 530
,,,,Нечепорук И..57,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..57,7 818
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..57,1 289
,93 185,65 126,7 246,Нечепорук И..57,9 107
"PL, грн план",137 366,123 334,5 677,Нечепорук И..57,9 972
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..57,"11,48%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..58,01.08-31.08.25
Мережа,Варус,Варус,Варус,Нечепорук И..58,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..58,"Тістечко Горішки зі сгущеним молоком (0,270 кг) ОПТ"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..58,Лютий
Акційний місяць,Липень,Липень,Липень,Нечепорук И..58,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..58,"1,05"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..58,6 480
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..58,108
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..58,"54,62%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..58,15%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..58,11%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..58,18%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..58,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..58,45%
"Витрати на активацію, грн",0,0,0,Нечепорук И..58,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..58,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..58,"0,18"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..58,4
,,,,Нечепорук И..58,
Резульати,,,,Нечепорук И..58,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..58,534
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..58,27 216
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..58,1 716
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..58,9 236
,,,,Нечепорук И..58,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..58,3 062
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..58,76
,93 185,65 126,7 246,Нечепорук И..58,3 137
"PL, грн план",137 366,123 334,5 677,Нечепорук И..58,4 382
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..58,"16,10%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..59,01.08-31.08.25
Мережа,Варус,Варус,Варус,Нечепорук И..59,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..59,"Тістечко Макаронс  (0,132 кг)"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..59,Квытень
Акційний місяць,Липень,Липень,Липень,Нечепорук И..59,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..59,"1,05"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..59,17 403
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..59,226
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..59,"73,79%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..59,15%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..59,14%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..59,56%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..59,10%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..59,61%
"Витрати на активацію, грн",0,0,0,Нечепорук И..59,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..59,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..59,"0,3"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..59,2
,,,,Нечепорук И..59,
Резульати,,,,Нечепорук И..59,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..59,558
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..59,36 546
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..59,619
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..59,13 466
,,,,Нечепорук И..59,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..59,2 741
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..59,96
,93 185,65 126,7 246,Нечепорук И..59,2 837
"PL, грн план",137 366,123 334,5 677,Нечепорук И..59,10 009
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..59,"27,39%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..60,17.07-12.08.25
Мережа,Варус,Варус,Варус,Нечепорук И..60,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..60,"торт Червоний оксамит (0,5 кг)"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..60,Березень-Квітень
Акційний місяць,Липень,Липень,Липень,Нечепорук И..60,Липень-Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..60,"1,05"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..60,30 780
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..60,171
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..60,"62,64%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..60,20%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..60,11%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..60,48%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..60,18%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..60,52%
"Витрати на активацію, грн",0,0,0,Нечепорук И..60,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..60,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..60,2
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..60,"1,5"
,,,,Нечепорук И..60,
Резульати,,,,Нечепорук И..60,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..60,337
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..60,48 479
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..60,1 047
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..60,10 952
,,,,Нечепорук И..60,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..60,2 424
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..60,314
,93 185,65 126,7 246,Нечепорук И..60,2 738
"PL, грн план",137 366,123 334,5 677,Нечепорук И..60,7 167
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..60,"14,78%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..61,17.07-12.08.25
Мережа,Варус,Варус,Варус,Нечепорук И..61,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..61,"торт Чізкейк шоколадний з вишнею 0,5 кг"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..61,Березень-Квітень
Акційний місяць,Липень,Липень,Липень,Нечепорук И..61,Липень-Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..61,"1,05"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..61,15 300
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..61,85
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..61,"56,36%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..61,20%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..61,11%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..61,53%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..61,18%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..61,47%
"Витрати на активацію, грн",0,0,0,Нечепорук И..61,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..61,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..61,2
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..61,"1,5"
,,,,Нечепорук И..61,
Резульати,,,,Нечепорук И..61,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..61,167
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..61,24 098
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..61,-1 292
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..61,4 188
,,,,Нечепорук И..61,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..61,1 205
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..61,156
,93 185,65 126,7 246,Нечепорук И..61,1 361
"PL, грн план",137 366,123 334,5 677,Нечепорук И..61,4 118
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..61,"17,09%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..62,17.07-12.08.25
Мережа,Варус,Варус,Варус,Нечепорук И..62,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..62,"торт Київський Фьюжн з журавлиною  (0,300 кг) газ уп"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..62,Травень
Акційний місяць,Липень,Липень,Липень,Нечепорук И..62,Липень-Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..62,"1,1"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..62,37 119
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..62,232
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..62,"66,79%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..62,15%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..62,14%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..62,1%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..62,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..62,55%
"Витрати на активацію, грн",0,0,0,Нечепорук И..62,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..62,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..62,"1,88"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..62,2
,,,,Нечепорук И..62,
Резульати,,,,Нечепорук И..62,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..62,600
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..62,81 662
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..62,20 983
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..62,33 510
,,,,Нечепорук И..62,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Нечепорук И..62,6 125
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Нечепорук И..62,649
,93 185,65 126,7 246,Нечепорук И..62,6 774
"PL, грн план",137 366,123 334,5 677,Нечепорук И..62,5 754
"PL, % план","17,02%","21,60%","6,27%",Нечепорук И..62,"7,05%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Нечепорук И..63,17.07-12.08.25
Мережа,Варус,Варус,Варус,Нечепорук И..63,Таврия
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Нечепорук И..63,"Мини профитроли в глазуре (0,2кг)"
Еталонний місяць,Травень,Травень,Травень,Нечепорук И..63,Березень-Квітень
Акційний місяць,Липень,Липень,Липень,Нечепорук И..63,Липень-Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Нечепорук И..63,"1,1"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Нечепорук И..63,23 940
"Продажі в еталоний період, шт",1612,1588,233,Нечепорук И..63,532
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Нечепорук И..63,"67,42%"
"Відсоток акційної знижки, %",25%,25%,25%,Нечепорук И..63,15%
"Бонус, %","11,50%","11,65%","11,50%",Нечепорук И..63,14%
"Повернення без акції, %",2%,1%,10%,Нечепорук И..63,10%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Нечепорук И..63,2%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Нечепорук И..63,56%
"Витрати на активацію, грн",0,0,0,Нечепорук И..63,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Нечепорук И..63,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Нечепорук И..63,"0,8"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Нечепорук И..63,2
,,,,Нечепорук И..63,
Резульати,,,,Нечепорук И..63,
"Продажі в акційний період, шт план",5 977,5 374,542,Нечепорук И..63,1 377
"Продажі в акційний період, грн план",806 935,570 865,90 537,Нечепорук И..63,52 668
"Дохід еталоний період, грн план",144 674,116 096,21 934,Нечепорук И..63,11 329
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Нечепорук И..63,20 835
,,,,Нечепорук И..63,
